City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Loandjili,CG,-4.7561,11.8578,77.07,87,65,8.55,broken clouds
270,Mount Gambier,AU,-37.8333,140.7667,58.44,56,83,5.77,broken clouds
271,Erzin,TR,36.9559,36.2,63.0,79,0,1.52,clear sky
272,Dawlatabad,AF,36.4141,64.9053,78.21,29,1,3.02,clear sky
273,Mendoza,AR,-32.8908,-68.8272,46.53,42,66,2.42,broken clouds
274,Olafsvik,IS,64.8945,-23.7142,43.54,95,100,11.83,overcast clouds
275,Grindavik,IS,63.8424,-22.4338,46.87,100,100,5.75,light intensity drizzle
276,Batemans Bay,AU,-35.7167,150.1833,60.1,39,0,3.56,clear sky
277,Cairns,AU,-16.9167,145.7667,85.06,76,75,11.5,broken clouds
278,Malindi,KE,-3.2175,40.1191,76.3,84,72,9.26,light rain
279,Yuanping,CN,38.7153,112.7575,76.17,22,100,3.04,overcast clouds
280,Korla,CN,41.7597,86.1469,81.45,15,5,8.86,clear sky
281,Ishigaki,JP,24.3448,124.1572,75.51,90,100,12.8,moderate rain
282,North Platte,US,41.1239,-100.7654,69.39,41,0,1.01,clear sky
283,Hays,US,30.0502,-98.0336,83.16,64,4,7.0,clear sky
284,Okhotsk,RU,59.3833,143.3,42.48,69,100,2.98,overcast clouds
285,Lake Havasu City,US,34.4839,-114.3224,97.41,8,0,5.75,clear sky
286,Beawar,IN,26.1,74.3167,91.4,26,0,12.01,clear sky
287,Sarahan,IN,31.5167,77.8,67.75,42,4,3.13,clear sky
288,Aksarka,RU,66.5606,67.7975,35.87,69,100,15.41,overcast clouds
289,Torres,BR,-29.3353,-49.7269,55.83,73,70,16.84,broken clouds
290,Pennsville,US,39.6535,-75.5166,64.49,67,100,6.91,light rain
291,Beni,CD,0.5,29.4667,61.93,85,100,2.33,overcast clouds
292,Saint-Philippe,RE,-21.3585,55.7679,67.59,76,33,10.13,scattered clouds
293,Acari,PE,-15.4311,-74.6158,65.89,79,41,3.31,scattered clouds
294,Chifeng,CN,42.2683,118.9636,77.11,21,95,10.63,overcast clouds
295,Karonga,MW,-9.9333,33.9333,66.34,78,88,4.09,overcast clouds
296,Fortuna,US,40.5982,-124.1573,60.91,87,0,11.5,clear sky
297,Sao Filipe,CV,14.8961,-24.4956,76.35,66,80,5.57,broken clouds
298,Tupik,RU,54.4253,119.9327,64.0,39,100,8.86,overcast clouds
299,Bagotville,AU,-28.9833,153.4167,67.64,67,100,9.1,overcast clouds
300,Sayyan,YE,15.1718,44.3244,58.3,26,8,4.34,clear sky
301,Buckingham,GB,51.9997,-0.9878,55.98,92,98,6.04,overcast clouds
302,Kyzyl-Mazhalyk,RU,51.1333,90.6,72.27,25,4,2.33,clear sky
303,Eucaliptus,BO,-17.5833,-67.5167,42.17,47,96,2.71,overcast clouds
304,Souillac,MU,-20.5167,57.5167,73.83,76,40,14.94,light rain
305,Marsa Matruh,EG,31.3525,27.2453,72.03,38,3,10.78,clear sky
306,Poum,NC,-20.2333,164.0167,77.79,76,11,4.74,few clouds
307,Kiama,AU,-34.6833,150.8667,66.38,45,15,4.14,few clouds
308,Shima,CN,24.4478,117.8111,79.02,62,16,2.77,few clouds
309,Laguna,US,38.421,-121.4238,91.69,21,0,12.66,clear sky
310,Bellefontaine,US,40.3612,-83.7597,59.7,98,94,5.39,overcast clouds
311,Muktsar,IN,30.4833,74.5167,100.08,11,0,7.18,clear sky
312,Lac Du Bonnet,CA,50.2536,-96.0612,44.02,94,17,3.74,few clouds
313,Alofi,NU,-19.0595,-169.9187,78.69,89,75,11.5,light intensity shower rain
314,Puerto Concordia,CO,2.6221,-72.7572,70.38,99,100,2.95,overcast clouds
315,Gweta,BW,-20.1833,25.2333,59.4,56,24,6.93,few clouds
316,Ostrovnoy,RU,68.0531,39.5131,33.98,81,100,11.7,overcast clouds
